Name,x,y
JAMMU & KASHMIR,-155,230
HIMACHAL PRADESH,-120,180
PUNJAB,-145,155
UTTARAKHAND,-75,145
DELHI,-95,108
UTTAR PRADESH,-65,75
HARYANA,-135,115
RAJASTHAN,-195,65
BIHAR,50,50
WEST BENGAL,60,0
ASSAM,150,63
MEGHALAYA,110,48
TRIPURA,130,11
MIZORAM ,180,5
MANIPUR,200,30
NAGALAND,210,60
ARUNACHAL PRADESH,160,100
CHHATTISGARH,160,-220
GUJARAT,-210,5
GOA,-210,0
ANDHRA PRADESH,-100,-150
JHARKHAND,20,10
KARNATAKA,-150,-170
KERELA,-130,-230
MADHYA PRADESH,-120,0
MAHARASHTRA,-150,-60
ORISSA,20,-50
TAMIL NADU,-80,-220
TELANGANA,-80,-100
